68.044, -6.581, 97.582
66.044, -6.558, 98.315
64.044, -6.559, 99.251
62.044, -6.57, 99.818
60.044, -6.585, 97.673
58.044, -6.6, 95.037
56.044, -6.613, 92.326
54.044, -6.618, 89.533
52.044, -6.615, 86.649
50.044, -6.601, 83.667
48.044, -6.572, 80.574
46.045, -6.526, 77.357
44.046, -6.461, 74.001
42.048, -6.37, 70.485
40.052, -6.249, 66.784
38.058, -6.096, 62.866
36.068, -5.894, 58.687
34.084, -5.641, 54.186
32.111, -5.312, 49.277
30.158, -4.883, 43.822
28.243, -4.31, 37.585
26.414, -3.509, 30.087
24.844, -2.287, 20
24.092, -0.477, 20
24.076, 1.523, 20
23.996, -0.138, 77.348
23.949, -2.137, 73.991
23.905, -4.137, 70.474
23.863, -6.136, 66.773
23.82, -8.136, 62.854
23.777, -10.135, 58.674
23.732, -12.135, 54.172
23.686, -14.134, 49.261
23.636, -16.134, 43.802
23.585, -18.133, 37.559
23.665, -20.13, 30.05
24.237, -22.026, 20
26.004, -22.717, 39.783
27.988, -22.467, 32.785
29.973, -22.591, 23.869
31.714, -23.542, 70.737
33.17, -24.91, 86.524
34.49, -26.413, 83.538
35.754, -27.963, 80.44
37.014, -29.515, 77.218
38.3, -31.048, 73.855
39.628, -32.542, 70.332
41.008, -33.99, 66.623
42.443, -35.383, 62.695
43.936, -36.714, 58.504
45.482, -37.982, 53.988
47.081, -39.183, 49.059
48.714, -40.339, 43.575
50.327, -41.52, 37.294
51.882, -42.777, 29.714
52.907, -44.379, 20
52.724, -46.187, 24.91
53.859, -46.987, 20
53.465, -45.029, 93.652
52.918, -43.105, 93.042
52.334, -41.193, 90.271
51.735, -39.284, 87.412
51.131, -37.378, 84.456
50.527, -35.471, 81.393
49.927, -33.563, 78.21
49.334, -31.653, 74.892
48.753, -29.739, 71.42
48.187, -27.821, 67.77
47.641, -25.897, 63.913
47.117, -23.967, 59.807
46.561, -22.046, 55.397
45.872, -21.283, 52.987
46.099, -23.268, 58.672
46.475, -25.232, 54.17
46.946, -27.176, 49.259
47.511, -29.094, 43.801
48.2, -30.971, 37.559
49.083, -32.763, 30.052
50.394, -34.249, 20
52.3, -34.795, 20
54.181, -34.233, 41.623
55.685, -32.919, 43.618
57.184, -31.597, 37.348
58.874, -30.534, 29.793
60.207, -29.152, 20
59.987, -27.19, 63.401
59.186, -25.36, 86.616
58.211, -23.613, 95.497
57.174, -21.903, 98.902
56.119, -20.204, 98.837
55.071, -18.501, 97.098
54.049, -16.781, 96.06
53.069, -15.038, 94.535
52.146, -13.264, 93.477
51.295, -11.455, 91.752
50.509, -9.615, 92.653
49.668, -7.801, 89.87
48.72, -6.04, 86.998
47.64, -4.358, 84.862
46.406, -2.785, 86.338
45.036, -1.329, 92.445
43.59, 0.053, 96.52
42.133, 1.423, 93.852
40.708, 2.826, 91.105
39.334, 4.28, 88.273
38.015, 5.783, 85.348
36.749, 7.331, 82.318
35.506, 8.898, 79.172
